TR:HepG2:CellLine,TR:igf1,TR:il1a,TR:tgfa,TR:tnfa,TR:ikki,TR:mek12i,TR:pi3ki,TR:p38i,DA:akt,DA:erk12,DA:ikb,DA:jnk12,DA:p38,DA:hsp27,DA:mek12,DV:akt,DV:erk12,DV:ikb,DV:jnk12,DV:p38,DV:hsp27,DV:mek12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,0.2615,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,30,30,30,30,30,30,30,0.6072,0,0.9978,0,0,0,0.0062
1,0,1,0,0,0,0,0,0,30,30,30,30,30,30,30,0.0003,0,0.9998,0.9999,0.9999,0.9997,0.7445
1,1,0,0,0,0,0,0,0,30,30,30,30,30,30,30,0.9259,0,0,0,0,0,0.2321
1,0,0,1,0,0,0,0,0,30,30,30,30,30,30,30,0.9161,0.8128,0,0,0.997,0,0.9782
1,0,0,0,0,0,1,0,0,30,30,30,30,30,30,30,0.0147,0,0,0,0,0,       NaN
1,0,0,0,1,0,1,0,0,30,30,30,30,30,30,30,0.074,0,0.9964,0,0,0,       NaN
1,0,1,0,0,0,1,0,0,30,30,30,30,30,30,30,0.0487,0,0.9999,0.9997,0.9999,0.9994,       NaN
1,1,0,0,0,0,1,0,0,30,30,30,30,30,30,30,0.8095,0,0,0,0,0,       NaN
1,0,0,1,0,0,1,0,0,30,30,30,30,30,30,30,0.8261,0,0,0,0,0,       NaN
1,0,0,0,0,0,0,0,1,30,30,30,30,30,30,30,0.1948,0,0,0,       NaN,0,0
1,0,0,0,1,0,0,0,1,30,30,30,30,30,30,30,0.3005,0,0.9947,0,       NaN,0,0
1,0,1,0,0,0,0,0,1,30,30,30,30,30,30,30,0.4215,0,0.9998,0.9998,       NaN,0,0.7284
1,1,0,0,0,0,0,0,1,30,30,30,30,30,30,30,0.839,0,0,0,       NaN,0,0
1,0,0,1,0,0,0,0,1,30,30,30,30,30,30,30,0.8138,0.9497,0,0,       NaN,0,0.9451
1,0,0,0,0,0,0,1,0,30,30,30,30,30,30,30,0.065,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,30,30,30,30,30,30,30,0.6521,0,0.9968,0,0,0,0.1077
1,0,1,0,0,0,0,1,0,30,30,30,30,30,30,30,0.5755,0,0.9998,0.9999,0.9997,0.9997,0.7075
1,1,0,0,0,0,0,1,0,30,30,30,30,30,30,30,0.9008,0,0,0,0,0,0.124
1,0,0,1,0,0,0,1,0,30,30,30,30,30,30,30,0.5615,0.9247,0,0,0,0,0.9134
1,0,0,0,0,1,0,0,0,30,30,30,30,30,30,30,0.0204,0,0,0,0,0,0.0006
1,0,0,0,1,1,0,0,0,30,30,30,30,30,30,30,0.3867,0,0,0,0,0,0.3066
1,0,1,0,0,1,0,0,0,30,30,30,30,30,30,30,0.059,0,0,0.9999,0.9997,0.9996,0.8486
1,1,0,0,0,1,0,0,0,30,30,30,30,30,30,30,0.9449,0,0,0,0,0,0.1199
1,0,0,1,0,1,0,0,0,30,30,30,30,30,30,30,0.8173,0.9152,0,0,0,0,0.9446
