TR:Cell:CellLine,TR:egf,TR:tnfa,TR:pi3ki,TR:raf1i,DA:raf1,DA:erk,DA:ap1,DA:gsk3,DA:p38,DA:nfkb,DV:raf1,DV:erk,DV:ap1,DV:gsk3,DV:p38,DV:nfkb
1,0,0,0,0,0,0,0,0,0,0,0.113273458,0.157629482,0.165686548,0.900470819,0.107672569,0.135582705
1,1,0,0,0,0,0,0,0,0,0,0.161252619,0.136127386,0.132165733,0.973463471,0.126018911,0.137593912
1,0,1,0,0,0,0,0,0,0,0,0.18118642,0.171172805,0.069216889,0.833938898,0.143094829,0.111949527
1,1,1,0,0,0,0,0,0,0,0,0.204532136,0.075609551,0.16402037,0.83166228,0.145759195,0.187964898
1,1,0,1,0,0,0,0,0,0,0,0.16324977,0.147945527,0.157562806,0.934339135,0.086896169,0.153629572
1,0,1,1,0,0,0,0,0,0,0,0.158026707,0.136434731,0.180032868,0.848411795,0.226635572,0.15556591
1,1,1,1,0,0,0,0,0,0,0,0.135451913,0.153500205,0.135521064,0.89481319,0.05830718,0.133181325
1,1,0,0,1,0,0,0,0,0,0,0.082807004,0.115530747,0.147297449,0.962855757,0.144970489,0.188848398
1,0,1,0,1,0,0,0,0,0,0,0.133160344,0.153239082,0.098038148,0.852769287,0.171006652,0.125711512
1,1,1,0,1,0,0,0,0,0,0,0.114319825,0.09963248,0.155512388,0.968806568,0.105584024,0.083550813
1,0,0,0,0,10,10,10,10,10,10,0.154720415,0.127082978,0.115752082,0.89798015,0.225187009,0.155043675
1,1,0,0,0,10,10,10,10,10,10,0.74495488,0.800498126,0.8416676,0.252429392,0.188055802,0.093183217
1,0,1,0,0,10,10,10,10,10,10,0.133048046,0.124090899,0.847727856,0.920172629,0.215012147,0.277517981
1,1,1,0,0,10,10,10,10,10,10,0.764964541,0.858754466,0.768054228,0.187187419,0.459523535,0.265340719
1,1,0,1,0,10,10,10,10,10,10,0.661412457,0.882067809,0.817783946,0.898192981,0.153363915,0.135637959
1,0,1,1,0,10,10,10,10,10,10,0.138320024,0.206287288,0.759027416,0.906642467,0.177410216,0.285073349
1,1,1,1,0,10,10,10,10,10,10,0.710615988,0.835458177,0.783108824,0.913260008,0.379927884,0.257251975
1,1,0,0,1,10,10,10,10,10,10,0.150911075,0.183468664,0.82372033,0.228896236,0.093075908,0.20138569
1,0,1,0,1,10,10,10,10,10,10,0.163940826,0.114286093,0.768118105,0.892869608,0.167792217,0.325952286
1,1,1,0,1,10,10,10,10,10,10,0.114870605,0.166401692,0.846933098,0.223178947,0.510018421,0.2846
